CellId	Radius	Length	Curvature	Torsion	Tortuosity	StartPointPosition_R	StartPointPosition_A	StartPointPosition_S	EndPointPosition_R	EndPointPosition_A	EndPointPosition_S
0	1.3949	0.728064	0	0	0	7.98815	-10.3145	-112.836	7.98077	-10.0866	-112.144
1	0.844321	0.791043	1.36682e-05	0	0	4.62978	19.9809	10.3044	5.06322	20.6407	10.3541
2	1.76631	16.1509	0.122641	0.13226	0.0328802	-32.1035	7.75985	-68.3015	-32.1153	4.99116	-83.6912
3	1.91405	1.70354	0	0	2.22045e-16	-32.1153	4.99116	-83.6912	-33.2413	3.74347	-83.9696
4	2.14069	78.1719	0.0825564	-0.015636	0.10205	-33.2413	3.74347	-83.9696	-31.7172	11.5078	-13.4791
5	2.00947	1.97283	0	0	0	-31.7172	11.5078	-13.4791	-31.1342	13.0174	-12.3508
6	2.33666	17.5764	0.0969448	0.0915012	0.0447673	-31.1342	13.0174	-12.3508	-16.6405	21.5452	-12.8328
7	2.16949	2.21888	0.0378203	0	0.000821012	-16.6405	21.5452	-12.8328	-14.722	22.5233	-12.3054
8	2.03451	34.6441	0.161318	-0.0232885	0.307023	-14.722	22.5233	-12.3054	-8.59776	37.2318	8.8777
9	0.566162	0.378815	0	0	0	16.2027	-1.29094	6.748	16.476	-1.53807	6.83593
10	0.650691	0.097713	0	0	0	17.6576	13.1929	9.21039	17.6659	13.2873	9.18646
11	0.653801	0.200853	0	0	0	13.6488	14.3336	4.50734	13.8266	14.2533	4.55521
12	1.66026	0.179554	0	0	-1.37668e-14	-13.571	1.27085	12.043	-13.4226	1.27352	11.942
13	1.66026	0.179554	0	0	-1.37668e-14	-13.571	1.27085	12.043	-13.4226	1.27352	11.942
14	1.76631	16.1509	0.122641	0.13226	0.0328802	-32.1035	7.75985	-68.3015	-32.1153	4.99116	-83.6912
15	1.91405	1.70354	0	0	2.22045e-16	-32.1153	4.99116	-83.6912	-33.2413	3.74347	-83.9696
16	2.14069	78.1719	0.0825564	-0.015636	0.10205	-33.2413	3.74347	-83.9696	-31.7172	11.5078	-13.4791
17	2.00947	1.97283	0	0	0	-31.7172	11.5078	-13.4791	-31.1342	13.0174	-12.3508
18	2.32695	17.5976	0.106919	0.0559068	0.0456194	-31.1342	13.0174	-12.3508	-16.7017	21.6727	-12.532
19	0.46047	39.8748	0.00639083	678.212	0.00484142	15.5819	5.83408	14.2082	-12.0934	34.2729	14.0185
20	1.76631	16.1509	0.122641	0.13226	0.0328802	-32.1035	7.75985	-68.3015	-32.1153	4.99116	-83.6912
21	1.91405	1.70354	0	0	2.22045e-16	-32.1153	4.99116	-83.6912	-33.2413	3.74347	-83.9696
22	2.14069	78.1719	0.0825564	-0.015636	0.10205	-33.2413	3.74347	-83.9696	-31.7172	11.5078	-13.4791
23	2.00947	1.97283	0	0	0	-31.7172	11.5078	-13.4791	-31.1342	13.0174	-12.3508
24	2.33666	17.5764	0.0969448	0.0915012	0.0447673	-31.1342	13.0174	-12.3508	-16.6405	21.5452	-12.8328
25	2.16949	2.21888	0.0378203	0	0.000821012	-16.6405	21.5452	-12.8328	-14.722	22.5233	-12.3054
26	2.03412	34.6628	0.161867	-0.0243588	0.306771	-14.722	22.5233	-12.3054	-8.62691	37.2411	8.90407
